T	z
82.0167 0.6765
82.2489 0.6766
83.5618 0.6752
81.9754 0.6759
81.7510 0.6764
81.0435 0.6750
82.1886 0.6744
82.0172 0.6724
82.4801 0.6733
81.8772 0.6756
80.3499 0.6738
83.3727 0.6725
81.1505 0.6720
83.4079 0.6710
80.6148 0.6732
81.9122 0.6705
82.3506 0.6693
81.5251 0.6687
82.4052 0.6692
81.2899 0.6696
82.1707 0.6689
82.8415 0.6671
81.5839 0.6657
82.6666 0.6684
82.0284 0.6678
83.1126 0.6658
81.7872 0.6650
82.0790 0.6647
82.4008 0.6667
81.8967 0.6655
82.9208 0.6642
83.2668 0.6646
82.2676 0.6639
81.9103 0.6644
83.1717 0.6639
82.5693 0.6635
82.3747 0.6630
83.5254 0.6602
83.6721 0.6629
83.7562 0.6704
83.2119 0.6680
83.2366 0.6654
82.3331 0.6641
82.3499 0.6652
81.5770 0.6640
83.9865 0.6635
82.8121 0.6616
84.2035 0.6622
83.4332 0.6619
85.4473 0.6608
83.9862 0.6584
83.4516 0.6597
83.5734 0.6490
85.2585 0.6594
84.7141 0.6557
84.2001 0.6588
84.8163 0.6604
88.5509 0.6602
97.2487 0.6601
104.6136 0.6624
109.6577 0.6622
113.3470 0.6624
117.2040 0.6625
119.2120 0.6622
120.7053 0.6632
123.5619 0.6632
125.6883 0.6633
127.3403 0.6645
129.6582 0.6647
130.0003 0.6654
131.9720 0.6642
133.8284 0.6662
134.7895 0.6650
135.8302 0.6634
138.0520 0.6630
138.1312 0.6621
138.8313 0.6588
140.7310 0.6567
142.1140 0.6548
143.0140 0.6495
144.8342 0.6429
146.0529 0.6422
146.7912 0.6385
146.6639 0.6373
148.0048 0.6329
149.0550 0.6300
150.0879 0.6268
150.5016 0.6223
152.6173 0.6180
153.2525 0.6132
153.7107 0.6108
154.4413 0.6051
155.8862 0.6032
156.5171 0.5968
158.0706 0.5927
159.1559 0.5885
159.1767 0.5829
159.9516 0.5746
160.5724 0.5705
161.3624 0.5644
162.1003 0.5588
163.3296 0.5509
164.4466 0.5449
164.9380 0.5372
165.9320 0.5275
166.6515 0.5191
167.3001 0.5109
168.0724 0.5001
169.3547 0.4911
170.0916 0.4782
170.6988 0.4654
172.1676 0.4504
172.2446 0.4327
173.0855 0.4100
173.2800 0.3864
173.7233 0.3482
174.5977 0.2713
