kn	ft
0.9096 0.5119
0.9097 0.5117
0.9130 0.5113
0.9130 0.5110
0.9128 0.5108
0.9150 0.5109
0.9161 0.5106
0.9182 0.5111
0.9177 0.5104
0.9157 0.5094
0.9183 0.5092
0.9210 0.5083
0.9223 0.5083
0.9243 0.5080
0.9231 0.5070
0.9262 0.5074
0.9278 0.5074
0.9287 0.5073
0.9285 0.5068
0.9285 0.5063
0.9174 0.5063
0.9318 0.5066
0.9336 0.5069
0.9192 0.5058
0.9200 0.5059
0.9224 0.5064
0.9236 0.5066
0.9240 0.5066
0.9222 0.5059
0.9235 0.5062
0.9252 0.5065
0.9251 0.5062
0.9261 0.5064
0.9258 0.5061
0.9267 0.5062
0.9273 0.5063
0.9279 0.5064
0.9310 0.5073
0.9285 0.5063
0.9212 0.5036
0.9238 0.5045
0.9264 0.5054
0.9160 0.5059
0.9269 0.5055
0.9284 0.5059
0.9296 0.5056
0.9197 0.5062
0.9315 0.5061
0.9321 0.5062
0.9218 0.5069
0.9245 0.5080
0.9236 0.5079
0.9339 0.5116
0.9244 0.5081
0.9282 0.5094
0.9253 0.5084
0.9240 0.5078
0.9257 0.5102
0.9333 0.5299
0.9410 0.5485
0.9373 0.5616
0.9558 0.5710
0.9625 0.5817
0.9545 0.5867
0.9570 0.5904
0.9620 0.5990
0.9660 0.6053
0.9684 0.6100
0.9727 0.6175
0.9727 0.6183
0.9776 0.6252
0.9798 0.6313
0.9829 0.6347
0.9741 0.6384
0.9907 0.6468
0.9915 0.6472
0.9955 0.6504
1.0006 0.6579
1.0048 0.6636
0.9978 0.6680
1.0055 0.6764
1.0084 0.6816
1.0125 0.6853
1.0134 0.6858
1.0185 0.6911
1.0225 0.6960
1.0265 0.7010
1.0302 0.7036
1.0363 0.7133
1.0277 0.7173
1.0302 0.7201
1.0352 0.7244
1.0387 0.7308
1.0438 0.7351
1.0487 0.7428
1.0531 0.7489
1.0563 0.7498
1.0625 0.7552
1.0660 0.7591
1.0708 0.7640
1.0753 0.7686
1.0815 0.7755
1.0865 0.7822
1.0915 0.7862
1.0982 0.7929
1.1038 0.7982
1.1092 0.8032
1.1159 0.8091
1.1086 0.8169
1.1161 0.8232
1.1233 0.8289
1.1323 0.8388
1.1408 0.8420
1.1527 0.8511
1.1639 0.8560
1.1821 0.8662
1.2173 0.8853
