kn	ft
0.6518 0.3863
0.6477 0.3859
0.6504 0.3863
0.6567 0.3822
0.6529 0.3800
0.6588 0.3909
0.6596 0.3780
0.6606 0.3794
0.6608 0.3802
0.6600 0.3799
0.6615 0.3819
0.6570 0.3784
0.6619 0.3777
0.6569 0.3782
0.6623 0.3802
0.6577 0.3806
0.6575 0.3797
0.6635 0.3852
0.6579 0.3853
0.6584 0.3858
0.6588 0.3863
0.6580 0.3862
0.6552 0.3921
0.6599 0.3925
0.6602 0.3922
0.6617 0.3935
0.6612 0.3935
0.6616 0.3934
0.6619 0.3926
0.6619 0.4079
0.6665 0.4079
0.6670 0.4081
0.6632 0.4057
0.6642 0.4070
0.6647 0.4076
0.6700 0.4227
0.6763 0.4154
0.6707 0.4032
0.6700 0.4033
0.6696 0.4036
0.6725 0.4188
0.6747 0.4245
0.6766 0.4290
0.6780 0.4277
0.6718 0.4262
0.6829 0.4482
0.6852 0.4398
0.6802 0.4266
0.6852 0.4286
0.6807 0.4291
0.6849 0.4293
0.6810 0.4301
0.6845 0.4320
0.7063 0.4647
0.7088 0.4638
0.7177 0.4636
0.7186 0.4629
0.7272 0.4643
0.7267 0.4637
0.7303 0.4651
0.7335 0.4664
0.7390 0.4797
0.7431 0.4820
0.7468 0.4824
0.7436 0.4820
0.7532 0.4839
0.7560 0.4855
0.7608 0.4884
0.7651 0.4918
0.7689 0.4939
0.7732 0.4959
0.7733 0.4991
0.7775 0.5008
0.7835 0.5086
0.7891 0.5128
0.7941 0.5124
