T	z
110.0224 0.7084
110.6633 0.7081
112.1205 0.7073
106.4244 0.7070
105.6862 0.7061
116.7371 0.7058
106.7472 0.7064
113.9539 0.7061
112.2835 0.7063
111.4856 0.7080
115.8482 0.7079
109.7595 0.7089
114.6538 0.7094
112.7454 0.7101
116.5378 0.7107
113.3795 0.7113
114.9588 0.7120
119.5811 0.7130
119.5741 0.7144
118.6758 0.7141
120.0082 0.7145
119.5237 0.7159
123.2660 0.7170
122.4150 0.7174
120.4916 0.7182
124.5923 0.7181
121.8990 0.7200
122.1760 0.7195
124.4376 0.7200
130.9030 0.7207
130.7462 0.7212
129.3876 0.7213
127.1174 0.7211
131.8865 0.7220
130.6138 0.7218
137.6691 0.7222
131.8482 0.7219
128.2515 0.7227
133.1853 0.7235
132.7890 0.7243
138.6868 0.7246
140.7515 0.7250
142.4880 0.7256
138.9881 0.7249
139.5832 0.7274
148.8447 0.7282
143.4636 0.7264
140.1875 0.7261
145.4069 0.7262
145.1678 0.7256
145.4752 0.7269
145.0370 0.7255
143.4782 0.7200
151.5158 0.6883
152.8981 0.6841
154.1324 0.6775
149.4179 0.6673
149.4275 0.6605
151.9756 0.6517
151.8111 0.6448
151.9037 0.6385
159.1120 0.6322
153.9987 0.6262
155.3282 0.6191
156.1546 0.6153
159.3159 0.6080
158.3547 0.6025
156.4990 0.5933
161.2464 0.5864
160.0049 0.5787
160.8388 0.5699
161.9269 0.5587
161.9141 0.5496
165.6202 0.5397
157.4633 0.5301
163.1633 0.5198
