Material,Length (mm),Diameter (µm),Pressure @ Lev (Torr),    ∇ T (C),P/F ,Max Pressure,Min Pressure,Date Recorded,      Index
Cotton,12.4,15,2.3,105,P,2.6,2.5,07/26/24,1
Cotton ,24,12,6.2,108,P,6.3,8.30E-01,07/26/24,2
Cotton,24.54,18,11.7,108,P,13.3,11.9,09/13/27,
Wool,5,18,3,,P,7.65,2,09/13/27,
Wool,10,18,2,,P,1.8,1.4,09/13/27,
Wool,9.4,23,1.3,110,P,1.3,1.2,07/26/24,3
Wool,24.6,20,1.2,95,P,1.1,1,07/26/24,4
Wool,35,22,1.1,105,F,N/A,N/A,08/08/2024,5
Wool,52,25,9.00E-01,105,P,1.1,9.80E-01,08/08/2024,6
Wool,70,17,1,105, Pass @185C F @105C,1.2,1.1,07/26/24,7
Wool,87,21,1,105,F,N/A,N/A,08/12/24,8
Dandel Const R,4.8,10,13.6,105,P,11.3,5.8,08/12/24,9
Silk,44.6,30,N/A,105,F,N/A,N/A,08/12/24,10
,Uncert: (2),Uncert: (2),,,,,,,
